Import Rates,Export Rates,Zip,Utility Name,Utility ID,Tariff Name,Tariff ID
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.17575704,0.17580237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
0.07178704,0.07183237,86011,Arizona Public Service Co,2885,ET-1,386
